id,REL_PERS_REF_SURNAME,REL_PERS_REF_FIRST_NAME,Full Name,Birth Year,Birth Country,Birth Place,Death Year,Death Country,Death Place,approbator,archbishop/bishop,author,collaborator/contributor/signer,commentator/eulogist,compiler/editor/revisor,dedicatee,engraver/etcher/illustrator,heirs/widow,printer/publisher,translator,unspecified,DUTCH,ENGLISH,FRENCH,GERMAN,LATIN,SPANISH,1550s,1560s,1570s,1580s,1590s,1600s,1610s,1620s,1630s,1640s,1650s,Birth Region,Death Region,Printing House,House Origion,House Note,Gender,Most Involved Role,Most Involved Language,Most Involved Period
119240,Boscard,Charles I,Charles I Boscard,,France,Douai,1627.0,France,Saint-Omer,0,0,0,0,0,0,0,0,0,37,0,0,0,16,5,0,16,0,0,0,0,0,4,31,1,1,0,0,0,Low Countries,Low Countries,Boscard,Low Countries,,Male or Unspecified,printer/publisher,Multi,1600s
119243,Burée,Jeanne,Jeanne Burée,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,Female Pri/Pub,printer/publisher,ENGLISH,1630s
119245,Boscard,Charles,Charles Boscard,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,Male or Unspecified,printer/publisher,ENGLISH,1620s
119246,Smyth,Richard,Richard Smyth,1499.0,,,1563.0,France,Douai,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,,Low Countries,,,,Male or Unspecified,author,LATIN,1560s
119248,De Winde,Lodewijk,Lodewijk De Winde,,,,1576.0,France,Douai,0,0,0,0,0,0,0,0,0,27,0,0,2,0,5,0,20,0,0,11,15,0,0,1,0,0,0,0,0,,Low Countries,de Winde,Low Countries,founder,Male or Unspecified,printer/publisher,LATIN,1570s
119249,Bogart,Jan I,Jan I Bogart,,,,1616.0,Belgium,Leuven,0,0,0,0,0,0,0,0,0,249,0,0,1,2,109,0,136,1,0,0,33,59,71,44,42,0,0,0,0,,Low Countries,Bogart,Low Countries,founder,Male or Unspecified,printer/publisher,LATIN,1590s
119252,Bogart,Jean II,Jean II Bogart,1561.0,Belgium,Leuven,1629.0,France,Douai,0,0,0,0,0,1,0,0,1,107,0,0,0,1,24,0,84,0,0,0,0,0,1,0,38,68,2,0,0,Low Countries,Low Countries,Bogart,Low Countries,,Male or Unspecified,printer/publisher,LATIN,1620s
119257,Bogart,Pierre,Pierre Bogart,1594.0,France,Douai,1639.0,France,Douai,0,0,0,0,0,0,0,0,0,18,0,0,0,0,3,0,15,0,0,0,0,0,0,0,0,3,15,0,0,Low Countries,Low Countries,Bogart,Low Countries,,Male or Unspecified,printer/publisher,LATIN,1630s
119258,Bogart,Martin,Martin Bogart,1609.0,France,Douai,1636.0,France,Douai,0,0,0,0,1,0,0,0,0,24,0,0,0,6,7,0,11,0,0,0,0,0,0,0,0,2,22,0,0,Low Countries,Low Countries,Bogart,Low Countries,,Male or Unspecified,printer/publisher,LATIN,1630s
119259,Trigault,Pierre,Pierre Trigault,,,,,,,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,3,0,0,,,,,,Male or Unspecified,dedicatee,LATIN,1630s
119263,Pinchon,Françoise,Françoise Pinchon,,,,,,,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,,,Bogart,Low Countries,,Female Pri/Pub,printer/publisher,LATIN,1630s
119266,Hutsebaut,Denis,Denis Hutsebaut,,,,,,,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,,,Bogart,Low Countries,,Male or Unspecified,printer/publisher,Multi,Multi
119268,Bellère,Balthazar I,Balthazar I Bellère,1564.0,Belgium,Antwerpen,1639.0,France,Douai,0,0,14,1,1,0,1,0,1,768,0,0,1,21,216,0,519,0,0,0,0,0,62,116,191,229,147,11,1,Low Countries,Low Countries,Bellère,Low Countries,founder,Male or Unspecified,printer/publisher,LATIN,1620s
119270,de Behault,Anne,Anne de Behault,,,,,,,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,4,0,,,Bellère,Low Countries,,Female Pri/Pub,printer/publisher,LATIN,1640s
119272,Bellere,Pierre,Pierre Bellere,1598.0,France,Douai,1672.0,,,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,2,0,3,0,Low Countries,,Bellère,Low Countries,,Male or Unspecified,printer/publisher,FRENCH,1640s
119273,Bellere,Balthazar II,Balthazar II Bellere,1617.0,France,Douai,1686.0,France,Douai,0,0,0,0,0,0,0,0,0,43,0,0,0,2,9,0,32,0,0,0,0,0,0,0,0,0,0,20,23,Low Countries,Low Countries,Bellère,Low Countries,,Male or Unspecified,printer/publisher,LATIN,1650s
119277,Borremans,Pierre I,Pierre I Borremans,1572.0,Belgium,Antwerpen,1616.0,France,Douai,0,0,1,0,0,0,0,0,0,23,0,0,0,1,7,0,15,0,0,0,0,0,0,12,11,0,0,0,0,Low Countries,Low Countries,Borremans,Low Countries,founder,Male or Unspecified,printer/publisher,LATIN,1600s
119278,Heusch,Gertrud,Gertrud Heusch,,,,,,,0,0,0,0,0,0,0,0,0,86,0,0,0,0,1,0,84,0,0,0,0,0,0,0,29,56,0,0,0,,,Borremans,Low Countries,,Female Pri/Pub,printer/publisher,LATIN,1620s
119280,Kellam,Laurence I,Laurence I Kellam,1563.0,Britain,York,1613.0,France,Douai,0,0,0,0,0,0,0,0,0,63,0,0,0,20,5,0,38,0,0,0,0,0,0,39,24,0,0,0,0,Britain,Low Countries,Kellam,Britain,founder,Male or Unspecified,printer/publisher,LATIN,1600s
119282,Allen,William,William Allen,1532.0,Britain,Lancashire,1594.0,Italy,Roma,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,2,0,0,0,0,0,Britain,Italy,,,,Male or Unspecified,author,LATIN,1600s
119283,Lanseart,Marguerite,Marguerite Lanseart,,,,,,,0,0,0,0,0,0,0,0,0,85,0,0,0,7,5,0,72,0,0,0,0,0,0,0,79,5,0,0,0,,,Kellam,Britain,,Female Pri/Pub,printer/publisher,LATIN,1610s
119284,Kellam,Thomas (I),Thomas (I) Kellam,1595.0,Belgium,Leuven,1619.0,France,Douai,0,0,0,1,0,0,1,0,0,29,0,0,0,1,2,0,27,0,0,0,0,0,0,0,30,0,0,0,0,Low Countries,Low Countries,Kellam,Britain,,Male or Unspecified,printer/publisher,LATIN,1610s
119285,Kellam,Laurence II,Laurence II Kellam,1599.0,Belgium,Leuven,1662.0,France,Douai,0,0,0,0,0,0,0,0,0,119,0,0,2,17,20,0,76,0,0,0,0,0,0,0,1,71,22,5,16,Low Countries,Low Countries,Kellam,Britain,,Male or Unspecified,printer/publisher,LATIN,1620s
119287,Fabri,François,François Fabri,,,,,,,0,0,0,0,0,0,0,0,0,7,0,0,0,0,4,0,3,0,0,0,0,0,0,5,2,0,0,0,0,,,Fabri,Low Countries,founder,Male or Unspecified,printer/publisher,FRENCH,1600s
119288,Auroy,Pierre,Pierre Auroy,,Belgium,Leuven,1631.0,France,Douai,0,0,0,1,0,0,0,0,1,174,0,0,0,39,28,0,109,0,0,0,0,0,0,16,65,79,16,0,0,Low Countries,Low Countries,Auroy,Low Countries,founder,Male or Unspecified,printer/publisher,LATIN,1620s
119289,Boscard,Dorothée,Dorothée Boscard,,,,,,,0,0,0,0,0,0,0,0,0,11,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,9,1,1,,,Auroy,Low Countries,,Female Pri/Pub,printer/publisher,LATIN,1630s
119290,Auroy,André,André Auroy,,,,,,,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,,,Auroy,Low Countries,,Male or Unspecified,Multi,LATIN,1630s
119291,Mairesse,Jacques,Jacques Mairesse,,France,Cambrai,1659.0,France,Douai,0,0,0,0,0,0,0,0,0,8,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,1,7,0,Low Countries,Low Countries,Auroy,Low Countries,,Male or Unspecified,printer/publisher,LATIN,1640s
119300,Usselinx,Henri,Henri Usselinx,,,,,,,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,3,0,0,0,,,Usselinx,Low Countries,founder,Male or Unspecified,printer/publisher,LATIN,1620s
119302,Duhamel,Joseph,Joseph Duhamel,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,,,Duhamel,Low Countries,founder,Male or Unspecified,printer/publisher,LATIN,1600s
119303,Wyon,Marc,Marc Wyon,,France,Douai,1630.0,France,Douai,0,0,0,0,0,0,0,0,2,81,0,0,0,3,29,0,50,1,0,0,0,0,0,1,40,37,5,0,0,Low Countries,Low Countries,Wyon,Low Countries,founder,Male or Unspecified,printer/publisher,LATIN,1610s
119304,Vanderpiet,Marie,Marie Vanderpiet,1590.0,,,1663.0,,,0,0,0,0,0,0,0,0,0,113,0,0,0,26,49,0,38,0,0,0,0,0,0,0,0,0,64,27,22,,,Wyon,Low Countries,,Female Pri/Pub,printer/publisher,FRENCH,1630s
119305,Pinchon,Gérard,Gérard Pinchon,,,,,,,0,0,0,0,0,0,0,0,0,39,0,0,1,8,7,0,23,0,0,0,0,0,0,2,2,15,20,0,0,,,Pinchon,Low Countries,founder,Male or Unspecified,printer/publisher,LATIN,1630s
119306,Wardavoir,Noël,Noël Wardavoir,,,,,,,0,0,0,0,0,0,0,0,0,17,0,1,0,0,5,0,13,0,0,0,0,0,0,0,18,0,0,0,0,,,Wardavoir,Low Countries,founder,Male or Unspecified,printer/publisher,LATIN,1610s
119307,Telu,Pierre,Pierre Telu,,,,1619.0,France,Douai,0,0,0,0,0,0,0,0,0,20,0,0,0,1,0,0,19,0,0,0,0,0,0,0,20,0,0,0,0,,Low Countries,Wardavoir,Low Countries,,Male or Unspecified,printer/publisher,LATIN,1610s
119308,de Menin,Jeanne,Jeanne de Menin,,,,,,,0,0,0,0,0,0,0,0,0,63,0,0,0,0,3,0,58,0,0,0,0,0,0,0,1,35,17,8,0,,,Wardavoir,Low Countries,,Female Pri/Pub,printer/publisher,LATIN,1620s
119309,Telu,Nicolas,Nicolas Telu,,,,,,,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,,,Wardavoir,Low Countries,,Male or Unspecified,printer/publisher,Multi,Multi
119312,Bardou,Barthélémy,Barthélémy Bardou,,,,,,,0,0,0,0,0,0,0,0,0,20,0,0,0,0,11,0,9,0,0,0,0,0,0,0,1,0,15,4,0,,,Bardou,Low Countries,founder,Male or Unspecified,printer/publisher,FRENCH,1630s
119313,de Fampoux,Jean,Jean de Fampoux,,,,,,,0,0,0,0,0,0,0,0,0,182,0,0,0,1,18,0,163,0,0,0,0,0,0,0,0,156,14,11,1,,,de Fampoux,Low Countries,founder,Male or Unspecified,printer/publisher,LATIN,1620s
119314,Patté,Gérard,Gérard Patté,,,,,,,0,0,0,0,0,0,0,0,0,66,0,0,0,2,4,0,60,0,0,0,0,0,0,0,2,21,28,12,3,,,,,,Male or Unspecified,printer/publisher,LATIN,1630s
119315,Patte,Jean,Jean Patte,,,,,,,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,3,,,Wardavoir,Low Countries,,Male or Unspecified,printer/publisher,LATIN,1650s
119316,Taylor,Henry,Henry Taylor,,,,,,,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,,Henry,Britain,founder,Male or Unspecified,printer/publisher,ENGLISH,1620s
119317,Doby,Antoine,Antoine Doby,,,,,,,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,,,,,,Male or Unspecified,printer/publisher,Multi,1620s
119318,Diestre,Jean,Jean Diestre,,,,,,,0,0,0,1,1,0,0,0,0,2,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,1,2,0,0,,,Diestre,Low Countries,founder,Male or Unspecified,printer/publisher,FRENCH,1630s
119319,de Spira,Jean,Jean de Spira,,,,,,,0,0,0,0,0,0,0,0,0,19,0,0,0,0,7,0,12,0,0,0,0,0,0,0,0,0,2,17,0,,,de Spira,Low Countries,founder,Male or Unspecified,printer/publisher,LATIN,1640s
119324,Serrurier,Jean,Jean Serrurier,,,,1654.0,France,Douai,0,0,0,0,0,0,0,0,1,61,0,0,0,1,27,0,34,0,0,0,0,0,0,0,0,0,5,38,19,,Low Countries,Serrurier,Low Countries,founder,Male or Unspecified,printer/publisher,LATIN,1640s
119325,Marquette,Marie,Marie Marquette,,,,,,,0,0,0,0,0,0,0,0,0,10,0,0,0,1,7,0,1,0,0,0,0,0,0,0,0,0,0,0,9,,,Serrurier,Low Countries,,Female Pri/Pub,printer/publisher,FRENCH,1650s
119338,de Buyens,Claude,Claude de Buyens,,,,,,,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,1,0,0,1,2,0,0,0,0,0,0,0,0,,,,,,Male or Unspecified,printer/publisher,FRENCH,1570s
119341,Bourgeois,Jean II,Jean II Bourgeois,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,Male or Unspecified,printer/publisher,FRENCH,1580s
119345,Bauduyn,Gilles,Gilles Bauduyn,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,Male or Unspecified,printer/publisher,FRENCH,1580s
119346,de La Rivière,Guillaume I,Guillaume I de La Rivière,1548.0,France,Caen,1627.0,France,Arras,0,0,0,0,0,0,0,0,0,7,0,0,0,0,5,0,2,0,0,0,0,0,1,5,1,0,0,0,0,France,Low Countries,,,,Male or Unspecified,printer/publisher,FRENCH,1600s
119348,de La Rivière,Guillaume II,Guillaume II de La Rivière,1579.0,Belgium,Antwerpen,1659.0,France,Arras,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Low Countries,Low Countries,,,,Male or Unspecified,printer/publisher,FRENCH,1620s
119351,Maudhuy,Robert,Robert Maudhuy,,,,1632.0,France,Arras,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,Low Countries,,,,Male or Unspecified,printer/publisher,FRENCH,1580s
119375,Vervliet,Jan,Jan Vervliet,,,,,,,0,0,0,0,0,2,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,1,1,0,0,,,,,,Male or Unspecified,compiler/editor/revisor,FRENCH,Multi
119377,de La Rivière,Jean,Jean de La Rivière,1573.0,Belgium,Antwerpen,,,,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,Low Countries,,,,,Male or Unspecified,printer/publisher,Multi,1610s
119378,Robat,Guillaume,Guillaume Robat,,,,,,,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,,,,,,Male or Unspecified,printer/publisher,LATIN,1610s
119379,Laurent,Josse,Josse Laurent,,,,,,,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,,,,,,Male or Unspecified,printer/publisher,LATIN,1610s
119383,Quinqué,Adrien,Adrien Quinqué,,France,Douai,1647.0,Belgium,Tournai,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,Low Countries,Low Countries,,,,Male or Unspecified,printer/publisher,LATIN,1640s
119385,Coulon,Jacques,Jacques Coulon,,,,,,,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,,,,,,Male or Unspecified,author,LATIN,1620s
119387,Beys,Christophe,Christophe Beys,1575.0,Belgium,Antwerpen,1645.0,France,Lille,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Low Countries,Low Countries,,,,Male or Unspecified,printer/publisher,FRENCH,1610s
119388,de Rache,Pierre,Pierre de Rache,1573.0,France,Lille,1648.0,France,Lille,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Low Countries,Low Countries,,,,Male or Unspecified,printer/publisher,FRENCH,1610s
119391,de Rache,Nicolas,Nicolas de Rache,1615.0,France,Lille,1685.0,France,Lille,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Low Countries,Low Countries,,,,Male or Unspecified,printer/publisher,FRENCH,1640s
119440,Heigham,John,John Heigham,,,,,,,0,0,1,0,0,4,0,0,0,27,5,0,0,27,0,0,2,0,0,0,0,0,0,4,21,3,1,0,0,,,English College Press,Britain,,Male or Unspecified,printer/publisher,ENGLISH,1610s
119441,Persons,Robert,Robert Persons,1546.0,Britain,Somerset,1610.0,Italy,Roma,0,0,7,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,5,1,1,0,0,0,0,0,Britain,Italy,English College Press,Britain,founder,Male or Unspecified,author,ENGLISH,1580s
119451,Schondonch,Gilles,Gilles Schondonch,,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,Male or Unspecified,commentator/eulogist,LATIN,1580s
119458,Cusack,Christopher,Christopher Cusack,1560.0,,,1624.0,,,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,,,,,,Male or Unspecified,Multi,Multi,Multi
119459,Nugent,Francis,Francis Nugent,1569.0,,,1635.0,France,Charleville,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,,Low Countries,,,,Male or Unspecified,author,LATIN,1600s
119466,Richeome,Louis,Louis Richeome,1544.0,France,Digne-les-Bains,1625.0,France,Bordeaux,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,1,0,0,0,0,0,France,France,,,,Male or Unspecified,author,FRENCH,1590s
119467,Gregorius XIV,,Gregorius XIV,1535.0,,,1591.0,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,Male or Unspecified,author,FRENCH,1590s
119469,Du Mont,Paul,Paul Du Mont,1532.0,France,Douai,1602.0,France,Douai,0,0,1,0,0,0,0,0,0,0,40,0,0,0,35,0,6,0,0,3,5,10,17,4,2,0,0,0,0,Low Countries,Low Countries,,,,Male or Unspecified,translator,FRENCH,1590s
119472,Bellintani,Mattia,Mattia Bellintani,1534.0,Italy,Brescia,1611.0,Italy,Brescia,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,Italy,Italy,,,,Male or Unspecified,author,FRENCH,1610s
119476,Bourgeois,Jacques,Jacques Bourgeois,,,,1600.0,France,Douai,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,1,1,2,0,0,0,0,0,0,,Low Countries,,,,Male or Unspecified,author,Multi,1590s
119493,Surius,Laurentius,Laurentius Surius,1523.0,Germany,Lübeck,1578.0,Germany,Köln,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,Holy Roman Empire,Holy Roman Empire,,,,Male or Unspecified,Multi,FRENCH,1600s
119505,the Metaphrast,Symeon,Symeon the Metaphrast,,,,,,,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,2,0,0,0,0,0,,,,,,Male or Unspecified,author,FRENCH,1600s
119507,Gazet,Guillaume,Guillaume Gazet,1554.0,France,Aire-sur-la-Lys,1612.0,France,Arras,6,0,5,0,1,4,1,0,0,0,0,0,0,1,8,0,4,0,0,0,0,1,6,2,3,0,0,1,0,Low Countries,Low Countries,,,,Male or Unspecified,approbator,FRENCH,1590s
119510,Richardot,François,François Richardot,1507.0,France,Morey,1574.0,France,Arras,0,1,7,0,0,0,0,0,0,0,0,2,0,0,4,0,6,0,0,3,5,0,0,2,0,0,0,0,0,France,Low Countries,,,,Male or Unspecified,author,LATIN,1570s
119511,de Cartheny,Jean,Jean de Cartheny,1520.0,France,Valenciennes,1578.0,France,Cambrai,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,1,1,1,0,0,0,0,0,Low Countries,Low Countries,,,,Male or Unspecified,translator,FRENCH,Multi
119519,Androzzi,Fulvio,Fulvio Androzzi,1523.0,,,1575.0,,,0,0,6,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,1,4,1,0,0,0,0,,,,,,Male or Unspecified,author,LATIN,1600s
119520,Gazet,Antoine,Antoine Gazet,,,,,,,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,1,1,2,0,0,0,0,0,,,,,,Male or Unspecified,translator,LATIN,1600s
119521,da Balbano,Bernardino,Bernardino da Balbano,,Italy,Balvano,1558.0,Italy,Potenza,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Italy,Italy,,,,Male or Unspecified,author,LATIN,1600s
119546,Herp,Hendrik,Hendrik Herp,,Netherlands,Erp,1477.0,Belgium,Mechelen,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Low Countries,Low Countries,,,,Male or Unspecified,author,ENGLISH,1600s
119547,Vervoort,Frans,Frans Vervoort,1490.0,Belgium,Mechelen,1555.0,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Low Countries,,,,,Male or Unspecified,author,FRENCH,1570s
119548,Tauler,Johann,Johann Tauler,1300.0,France,Strasbourg,1361.0,France,Strasbourg,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,0,0,1,0,0,0,0,0,0,Holy Roman Empire,Holy Roman Empire,,,,Male or Unspecified,author,LATIN,1560s
119556,Bosquier,Philippe,Philippe Bosquier,1562.0,Belgium,Mons,1636.0,France,Avesnes-sur-Helpe,0,0,14,0,0,0,0,0,0,0,0,0,0,0,3,0,11,0,0,0,0,0,0,8,3,2,1,0,0,Low Countries,Low Countries,,,,Male or Unspecified,author,LATIN,1600s
119565,de Bassecourt,Claude,Claude de Bassecourt,,,,,,,0,0,0,0,1,1,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,,,,,,Male or Unspecified,translator,FRENCH,1590s
119570,de Capua,Raymundus,Raymundus de Capua,1330.0,Italy,Capua,1399.0,Germany,Nürnberg,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Italy,Holy Roman Empire,,,,Male or Unspecified,author,ENGLISH,1600s
119578,Blendecq,Charles,Charles Blendecq,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,Male or Unspecified,translator,FRENCH,1570s
119579,de Locre,Ferry,Ferry de Locre,1571.0,France,Saint-Pol-sur-Ternoise,1614.0,France,Arras,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Low Countries,Low Countries,,,,Male or Unspecified,author,FRENCH,1610s
119587,de Berlaymont,Louis,Louis de Berlaymont,1512.0,Belgium,Brussel,1596.0,Belgium,Mons,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,Low Countries,Low Countries,,,,Male or Unspecified,dedicatee,LATIN,1580s
